         975778 function calls (971875 primitive calls) in 3.068 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.001    0.000    0.010    0.000 std.py:467(format_meter)
     7609    0.008    0.000    0.010    0.000 generic.py:37(_check)
      396    0.001    0.000    0.010    0.000 frame.py:656(_constructor_sliced_from_mgr)
       21    0.000    0.000    0.009    0.000 std.py:460(print_status)
        7    0.006    0.001    0.009    0.001 managers.py:2194(_stack_arrays)
  382/379    0.004    0.000    0.009    0.000 blocks.py:1127(setitem)
    10623    0.006    0.000    0.009    0.000 utils.py:374(<genexpr>)
      470    0.003    0.000    0.008    0.000 series.py:1016(__getitem__)
      372    0.001    0.000    0.008    0.000 config.py:145(_get_option)
      379    0.001    0.000    0.008    0.000 indexing.py:963(<listcomp>)
      382    0.006    0.000    0.008    0.000 base.py:69(shape)
      758    0.002    0.000    0.007    0.000 indexing.py:1414(_convert_to_indexer)
      396    0.000    0.000    0.007    0.000 frame.py:653(_sliced_from_mgr)
  840/477    0.003    0.000    0.006    0.000 {built-in method numpy.asarray}
      399    0.004    0.000    0.006    0.000 generic.py:335(_from_mgr)
       48    0.000    0.000    0.006    0.000 utils.py:193(inner)
      379    0.001    0.000    0.006    0.000 indexing.py:766(_maybe_mask_setitem_value)
      833    0.006    0.000    0.006    0.000 base.py:5299(__contains__)
       27    0.006    0.000    0.006    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      735    0.002    0.000    0.006    0.000 series.py:703(name)
      384    0.003    0.000    0.005    0.000 indexing.py:1213(_is_scalar_access)
      777    0.004    0.000    0.005    0.000 generic.py:274(__init__)
       21    0.000    0.000    0.005    0.000 std.py:454(fp_write)
      372    0.002    0.000    0.005    0.000 config.py:127(_get_single_key)
     1532    0.002    0.000    0.005    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.004    0.001 std.py:953(__init__)
      372    0.001    0.000    0.004    0.000 generic.py:760(_set_axis)
       21    0.000    0.000    0.004    0.000 utils.py:385(disp_trim)
     1089    0.001    0.000    0.004    0.000 series.py:626(dtype)
        6    0.000    0.000    0.004    0.001 std.py:1266(close)
      372    0.002    0.000    0.004    0.000 base.py:648(_simple_new)
      470    0.002    0.000    0.004    0.000 series.py:1139(_get_value)
      735    0.001    0.000    0.004    0.000 common.py:1562(validate_all_hashable)
        3    0.000    0.000    0.004    0.001 std.py:666(__new__)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:1167(_find_and_load)
      384    0.001    0.000    0.004    0.000 base.py:7607(maybe_extract_name)
       21    0.001    0.000    0.004    0.000 config_class.py:224(merge_all_identifiers)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    71/69    0.004    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    10783    0.003    0.000    0.004    0.000 {built-in method builtins.getattr}
      379    0.001    0.000    0.004    0.000 utils.py:290(length_of_indexer)
        1    0.000    0.000    0.003    0.003 <__array_function__ internals>:177(vstack)
        1    0.000    0.000    0.003    0.003 shape_base.py:222(vstack)
        2    0.000    0.000    0.003    0.002 <__array_function__ internals>:177(concatenate)
      372    0.002    0.000    0.003    0.000 blocks.py:2388(new_block)
      927    0.002    0.000    0.003    0.000 <frozen codecs>:319(decode)
      363    0.001    0.000    0.003    0.000 common.py:1183(is_bool_dtype)
     1595    0.001    0.000    0.003    0.000 series.py:750(_values)
        3    0.000    0.000    0.003    0.001 construction.py:596(_homogenize)
     1233    0.002    0.000    0.003    0.000 range.py:409(get_loc)
     2266    0.003    0.000    0.003    0.000 range.py:963(__len__)
     1089    0.003    0.000    0.003    0.000 managers.py:1949(dtype)
  768/765    0.001    0.000    0.003    0.000 {built-in method builtins.all}
      379    0.002    0.000    0.003    0.000 managers.py:1246(_iset_single)
     1101    0.002    0.000    0.003    0.000 series.py:653(name)
       82    0.003    0.000    0.003    0.000 {built-in method numpy.empty}
    10560    0.003    0.000    0.003    0.000 {built-in method unicodedata.east_asian_width}
     1140    0.002    0.000    0.003    0.000 generic.py:562(_get_axis)
     1526    0.003    0.000    0.003    0.000 managers.py:1799(__init__)
      366    0.002    0.000    0.003    0.000 base.py:836(__iter__)
        3    0.000    0.000    0.003    0.001 std.py:763(get_lock)
        1    0.000    0.000    0.003    0.003 std.py:90(__init__)
        1    0.000    0.000    0.003    0.003 std.py:116(create_mp_lock)
        1    0.000    0.000    0.003    0.003 context.py:70(RLock)
      775    0.001    0.000    0.003    0.000 base.py:3762(get_loc)
      372    0.001    0.000    0.003    0.000 managers.py:225(set_axis)
      756    0.001    0.000    0.002    0.000 base.py:7512(ensure_index)
     2829    0.002    0.000    0.002    0.000 common.py:367(apply_if_callable)
      379    0.002    0.000    0.002    0.000 indexing.py:813(_ensure_listlike_indexer)
     2716    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_list_like}
      376    0.001    0.000    0.002    0.000 blocks.py:2317(maybe_coerce_values)
      369    0.001    0.000    0.002    0.000 generic.py:487(_validate_dtype)
      363    0.001    0.000    0.002    0.000 common.py:81(get_op_result_name)
     3498    0.002    0.000    0.002    0.000 __init__.py:33(using_copy_on_write)
      366    0.002    0.000    0.002    0.000 construction.py:743(_try_cast)
     1146    0.001    0.000    0.002    0.000 base.py:71(<genexpr>)
      363    0.001    0.000    0.002    0.000 series.py:905(__array__)
       63    0.001    0.000    0.002    0.000 {pandas._libs.lib.maybe_convert_objects}
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:666(_load_unlocked)
      416    0.001    0.000    0.002    0.000 common.py:556(require_length_match)
       54    0.000    0.000    0.002    0.000 cast.py:1147(maybe_infer_to_datetimelike)
        3    0.000    0.000    0.002    0.001 blocks.py:451(coerce_to_target_dtype)
     1955    0.001    0.000    0.002    0.000 inference.py:334(is_hashable)
     1098    0.002    0.000    0.002    0.000 generic.py:6189(__getattr__)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:934(exec_module)
      372    0.001    0.000    0.002    0.000 config.py:686(_warn_if_deprecated)
      396    0.001    0.000    0.002    0.000 series.py:1372(_set_as_cached)
      372    0.002    0.000    0.002    0.000 config.py:633(_get_root)
      372    0.001    0.000    0.002    0.000 base.py:73(_validate_set_axis)
      363    0.000    0.000    0.002    0.000 dispatch.py:17(should_extension_dispatch)
      791    0.002    0.000    0.002    0.000 construction.py:419(extract_array)
     1595    0.002    0.000    0.002    0.000 managers.py:1960(internal_values)
      927    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
     1111    0.002    0.000    0.002    0.000 construction.py:484(ensure_wrapped_if_datetimelike)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1007(get_code)
        3    0.000    0.000    0.002    0.001 series.py:524(_init_dict)
      379    0.001    0.000    0.002    0.000 blocks.py:2483(ensure_block_shape)
     4467    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_integer}
     1470    0.001    0.000    0.002    0.000 common.py:1581(<genexpr>)
