         595871778 function calls (595868930 primitive calls) in 260.344 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      182    0.001    0.000    0.012    0.000 config_class.py:224(merge_all_identifiers)
   102031    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.010    0.003 managers.py:1744(_consolidate_inplace)
        1    0.000    0.000    0.010    0.010 managers.py:2207(_consolidate)
        3    0.006    0.002    0.010    0.003 managers.py:2224(_merge_blocks)
  513/510    0.004    0.000    0.009    0.000 blocks.py:1127(setitem)
        3    0.000    0.000    0.009    0.003 managers.py:2137(_form_blocks)
      510    0.001    0.000    0.008    0.000 indexing.py:959(_convert_tuple)
        7    0.006    0.001    0.008    0.001 managers.py:2194(_stack_arrays)
      557    0.001    0.000    0.008    0.000 frame.py:656(_constructor_sliced_from_mgr)
      510    0.001    0.000    0.007    0.000 indexing.py:963(<listcomp>)
      510    0.001    0.000    0.007    0.000 indexing.py:766(_maybe_mask_setitem_value)
      545    0.004    0.000    0.006    0.000 indexing.py:1213(_is_scalar_access)
     1020    0.002    0.000    0.006    0.000 indexing.py:1414(_convert_to_indexer)
     1662    0.004    0.000    0.006    0.000 {method 'format' of 'str' objects}
     4301    0.002    0.000    0.005    0.000 generic.py:42(_instancecheck)
     2116    0.002    0.000    0.005    0.000 {built-in method builtins.any}
      563    0.004    0.000    0.005    0.000 generic.py:6147(__finalize__)
      557    0.001    0.000    0.005    0.000 frame.py:653(_sliced_from_mgr)
      560    0.001    0.000    0.004    0.000 generic.py:335(_from_mgr)
        3    0.000    0.000    0.004    0.001 std.py:953(__init__)
     2240    0.004    0.000    0.004    0.000 generic.py:6206(__setattr__)
    71/69    0.004    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.003    0.003 <__array_function__ internals>:177(vstack)
        1    0.000    0.000    0.003    0.003 shape_base.py:222(vstack)
        2    0.000    0.000    0.003    0.002 <__array_function__ internals>:177(concatenate)
      510    0.001    0.000    0.003    0.000 utils.py:290(length_of_indexer)
      510    0.002    0.000    0.003    0.000 managers.py:1246(_iset_single)
      510    0.001    0.000    0.003    0.000 common.py:96(is_bool_indexer)
     1114    0.002    0.000    0.003    0.000 base.py:5349(__getitem__)
      513    0.001    0.000    0.003    0.000 base.py:69(shape)
        6    0.000    0.000    0.003    0.001 std.py:1266(close)
      575    0.002    0.000    0.003    0.000 generic.py:274(__init__)
       62    0.000    0.000    0.003    0.000 construction.py:518(sanitize_array)
     4301    0.002    0.000    0.003    0.000 generic.py:37(_check)
     1395    0.003    0.000    0.003    0.000 std.py:231(__call__)
      510    0.002    0.000    0.003    0.000 indexing.py:813(_ensure_listlike_indexer)
     1067    0.001    0.000    0.003    0.000 base.py:3762(get_loc)
        3    0.000    0.000    0.003    0.001 construction.py:596(_homogenize)
      556    0.001    0.000    0.003    0.000 missing.py:101(isna)
      927    0.001    0.000    0.002    0.000 <frozen codecs>:319(decode)
      473    0.001    0.000    0.002    0.000 std.py:400(format_interval)
      9/6    0.000    0.000    0.002    0.000 series.py:371(__init__)
      476    0.002    0.000    0.002    0.000 utils.py:272(_is_ascii)
       82    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
      247    0.001    0.000    0.002    0.000 std.py:102(acquire)
        3    0.000    0.000    0.002    0.001 readers.py:1403(__init__)
      858    0.001    0.000    0.002    0.000 frame.py:1542(__len__)
     1533    0.002    0.000    0.002    0.000 generic.py:562(_get_axis)
     1586    0.002    0.000    0.002    0.000 managers.py:1799(__init__)
      238    0.001    0.000    0.002    0.000 std.py:1447(format_dict)
     1539    0.001    0.000    0.002    0.000 base.py:71(<genexpr>)
