         1013500 function calls (1011422 primitive calls) in 5.586 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      927    0.001    0.000    0.002    0.000 <frozen codecs>:319(decode)
     2012    0.002    0.000    0.002    0.000 generic.py:6206(__setattr__)
      503    0.001    0.000    0.002    0.000 generic.py:335(_from_mgr)
      490    0.000    0.000    0.002    0.000 common.py:96(is_bool_indexer)
        2    0.000    0.000    0.002    0.001 std.py:1199(update)
      490    0.001    0.000    0.002    0.000 managers.py:1246(_iset_single)
       82    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
     4141    0.002    0.000    0.002    0.000 generic.py:37(_check)
       62    0.000    0.000    0.002    0.000 construction.py:518(sanitize_array)
        3    0.000    0.000    0.002    0.001 base.py:798(tolist)
        3    0.000    0.000    0.002    0.001 readers.py:1403(__init__)
        3    0.002    0.001    0.002    0.001 {method 'tolist' of 'numpy.ndarray' objects}
     1000    0.001    0.000    0.002    0.000 base.py:5349(__getitem__)
      490    0.001    0.000    0.002    0.000 indexing.py:813(_ensure_listlike_indexer)
        4    0.000    0.000    0.002    0.000 std.py:460(print_status)
        3    0.000    0.000    0.002    0.001 readers.py:1673(_make_engine)
      9/6    0.000    0.000    0.002    0.000 series.py:371(__init__)
      990    0.001    0.000    0.002    0.000 base.py:3762(get_loc)
     1414    0.001    0.000    0.002    0.000 series.py:750(_values)
        1    0.000    0.000    0.002    0.002 std.py:953(__init__)
        3    0.000    0.000    0.002    0.001 construction.py:596(_homogenize)
     3775    0.001    0.000    0.002    0.000 common.py:367(apply_if_callable)
      518    0.001    0.000    0.002    0.000 generic.py:274(__init__)
     1473    0.001    0.000    0.002    0.000 generic.py:562(_get_axis)
     1479    0.001    0.000    0.001    0.000 base.py:71(<genexpr>)
       10    0.000    0.000    0.001    0.000 utils.py:193(inner)
        6    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      536    0.000    0.000    0.001    0.000 missing.py:101(isna)
      500    0.001    0.000    0.001    0.000 series.py:1372(_set_as_cached)
        4    0.000    0.000    0.001    0.000 std.py:454(fp_write)
        3    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      490    0.001    0.000    0.001    0.000 blocks.py:2483(ensure_block_shape)
       12    0.000    0.000    0.001    0.000 utils.py:377(disp_len)
     3045    0.001    0.000    0.001    0.000 indexing.py:2685(<genexpr>)
     2545    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_list_like}
       15    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
       12    0.000    0.000    0.001    0.000 utils.py:373(_text_width)
     3865    0.001    0.000    0.001    0.000 __init__.py:33(using_copy_on_write)
        4    0.000    0.000    0.001    0.000 std.py:1151(__str__)
       45    0.001    0.000    0.001    0.000 {pandas._libs.ops.maybe_convert_bool}
     1470    0.001    0.000    0.001    0.000 utils.py:62(is_list_like_indexer)
     1575    0.001    0.000    0.001    0.000 indexing.py:1144(<genexpr>)
        4    0.000    0.000    0.001    0.000 std.py:467(format_meter)
       63    0.001    0.000    0.001    0.000 {pandas._libs.lib.maybe_convert_objects}
     3045    0.001    0.000    0.001    0.000 indexing.py:2694(<genexpr>)
       54    0.000    0.000    0.001    0.000 cast.py:1147(maybe_infer_to_datetimelike)
     1470    0.001    0.000    0.001    0.000 indexing.py:878(<genexpr>)
      536    0.000    0.000    0.001    0.000 missing.py:184(_isna)
      927    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
     1414    0.001    0.000    0.001    0.000 managers.py:1960(internal_values)
        3    0.000    0.000    0.001    0.000 python_parser.py:72(__init__)
     1972    0.001    0.000    0.001    0.000 utils.py:374(<genexpr>)
